央视频道,#genre#
CCTV1综合,http://ott.mobaibox.com/PLTV/3/224/3221227725/index.m3u8
CCTV1综合,http://223.110.240.208:6610/gitv/live1/G_CCTV-1-MD/G_CCTV-1-MD.m3u8
CCTV2财经,http://ott.mobaibox.com/PLTV/3/224/3221227708/index.m3u8
CCTV2财经,http://223.110.240.208:6610/gitv/live1/G_CCTV-2-MD/G_CCTV-2-MD.m3u8
CCTV3综艺,http://ott.mobaibox.com/PLTV/3/224/3221228499/index.m3u8
CCTV3综艺,http://ott.mobaibox.com/PLTV/3/224/3221227424/index.m3u8
CCTV3综艺,http://223.110.240.208:6610/gitv/live1/G_CCTV-3-MD/G_CCTV-3-MD.m3u8
CCTV4中文国际,http://ott.mobaibox.com/PLTV/3/224/3221227658/index.m3u8
CCTV4中文国际,http://223.110.240.208:6610/gitv/live1/G_CCTV-4-MD/G_CCTV-4-MD.m3u8
CCTV5体育,http://ott.mobaibox.com/PLTV/3/224/3221228502/index.m3u8
CCTV5体育,http://ott.mobaibox.com/PLTV/3/224/3221227686/index.m3u8
CCTV5体育,http://223.110.240.208:6610/gitv/live1/G_CCTV-5-MD/G_CCTV-5-MD.m3u8
CCTV5+体育赛事,http://ott.mobaibox.com/PLTV/3/224/3221227714/index.m3u8
CCTV5+体育赛事,http://223.110.240.208:6610/gitv/live1/G_CCTV-5PLUS-MD/G_CCTV-5PLUS-MD.m3u8
CCTV6电影,http://ott.mobaibox.com/PLTV/3/224/3221227664/index.m3u8
CCTV6电影,http://223.110.240.208:6610/gitv/live1/G_CCTV-6-MD/G_CCTV-6-MD.m3u8
CCTV7国防军事,http://ott.mobaibox.com/PLTV/3/224/3221227642/index.m3u8
CCTV7国防军事,http://223.110.240.208:6610/gitv/live1/G_CCTV-7-HD-265-8M/G_CCTV-7-HD-265-8M.m3u8
CCTV8电视剧,http://ott.mobaibox.com/PLTV/3/224/3221227433/index.m3u8
CCTV8电视剧,http://223.110.240.208:6610/gitv/live1/G_CCTV-8-MD/G_CCTV-8-MD.m3u8
CCTV9纪录,http://ott.mobaibox.com/PLTV/3/224/3221225532/index.m3u8
CCTV9纪录,http://223.110.240.208:6610/gitv/live1/G_CCTV-9-HD-265-8M/G_CCTV-9-HD-265-8M.m3u8
CCTV10科教,http://ott.mobaibox.com/PLTV/3/224/3221225550/index.m3u8
CCTV10科教,http://223.110.240.208:6610/gitv/live1/G_CCTV-10-HD-265-8M/G_CCTV-10-HD-265-8M.m3u8
