央视频道,#genre#
CCTV-1 综合,http://112.17.40.140/PLTV/88888888/224/3221226154/index.m3u8#http://183.207.255.188/live/program/live/cctv1hd/4000000/mnf.m3u8#http://111.12.102.68:6610/PLTV/77777777/224/3221225674/index.m3u8?
CCTV-2 财经,http://39.134.39.39/PLTV/88888888/224/3221226220/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV-3 综艺,http://39.134.39.39/PLTV/88888888/224/3221226251/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV-4 中文国际,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8#http://101.71.255.229:6610/zjhs/2/10090/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-5 体育,http://39.134.39.39/PLTV/88888888/224/3221226146/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV-5+ 体育,http://39.134.39.39/PLTV/88888888/224/3221226253/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV-6 电影,http://39.134.39.39/PLTV/88888888/224/3221226148/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225650/index.m3u8
CCTV-7 国防军事,http://39.134.39.39/PLTV/88888888/224/3221226255/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV-8 电视剧,http://39.134.39.39/PLTV/88888888/224/3221226150/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8
CCTV-9 纪录,http://39.134.39.39/PLTV/88888888/224/3221226259/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225626/index.m3u8
CCTV-10 科教,http://39.134.39.39/PLTV/88888888/224/3221226164/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225627/index.m3u8
CCTV-11 戏曲,http://39.134.39.39/PLTV/88888888/224/3221226261/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV-12 社会与法,http://39.134.39.39/PLTV/88888888/224/3221226230/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225629/index.m3u8
CCTV-13 新闻,http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8#http://61.189.255.139/live.aishang.ctlcdn.com/00000110240126_1/encoder/0/playlist.m3u8?CONTENTID=00000110240126_1#http://101.71.255.229:6610/zjhs/2/10155/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-14 少儿,http://39.134.39.39/PLTV/88888888/224/3221226166/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225639/index.m3u8
CCTV-15 音乐,http://39.134.39.39/PLTV/88888888/224/3221226234/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225641/index.m3u8
CCTV-17 农业农村,http://39.134.66.66/PLTV/88888888/224/3221225708/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8
CCTV4KHDR,http://120.221.66.73/livews-tp4k.cctv.cn/live/4K1218.stream/playlist.m3u8#http://120.221.66.110/livews-tp4k.cctv.cn/live/4K1218.stream/playlist.m3u8#http://120.221.66.113/livews-tp4k.cctv.cn/live/4K1218.stream/playlist.m3u8



卫视频道,#genre#
湖南卫视,http://39.134.39.39/PLTV/88888888/224/3221226193/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225745/index.m3u8
江苏卫视,http://39.134.39.39/PLTV/88888888/224/3221226157/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225743/index.m3u8
浙江卫视,http://39.134.39.39/PLTV/88888888/224/3221226144/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225744/index.m3u8
东南卫视,http://39.134.39.39/PLTV/88888888/224/3221226182/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225657/index.m3u8
东方卫视,http://39.134.39.39/PLTV/88888888/224/3221226155/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225658/index.m3u8
北京卫视,http://39.134.39.39/PLTV/88888888/224/3221226161/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225673/index.m3u8
四川卫视,http://39.134.39.39/PLTV/88888888/224/3221226307/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225733/index.m3u8
天津卫视,http://39.134.39.39/PLTV/88888888/224/3221226191/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225739/index.m3u8
安徽卫视,http://39.134.39.39/PLTV/88888888/224/3221226205/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225737/index.m3u8
山东卫视,http://39.134.39.39/PLTV/88888888/224/3221226162/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225738/index.m3u8
广东卫视,http://39.134.39.39/PLTV/88888888/224/3221226180/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225742/index.m3u8
江西卫视,http://39.134.39.39/PLTV/88888888/224/3221226207/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225746/index.m3u8
海南卫视,http://39.134.39.39/PLTV/88888888/224/3221226301/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225722/index.m3u8
深圳卫视,http://39.134.39.39/PLTV/88888888/224/3221226199/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225741/index.m3u8
湖北卫视,http://39.134.39.39/PLTV/88888888/224/3221226159/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225745/index.m3u8
甘肃卫视,http://39.134.39.39/PLTV/88888888/224/3221226240/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225724/index.m3u8
贵州卫视,http://39.134.39.39/PLTV/88888888/224/3221226276/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225728/index.m3u8
辽宁卫视,http://39.134.39.39/PLTV/88888888/224/3221226209/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225735/index.m3u8
重庆卫视,http://39.134.39.39/PLTV/88888888/224/3221226280/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225734/index.m3u8
黑龙江卫视,http://39.134.39.39/PLTV/88888888/224/3221226142/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225736/index.m3u8
云南卫视,http://39.130.208.132:6410/gitv_live/G_YUNNAN-HD/G_YUNNAN-HD.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225664/index.m3u8
